PINCODE,BR_CITY,STATE,REGION,OFFICE_CODE,OFFICE_NAME,END_MILE_TAT,STANDARD
125038,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125042,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125044,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125048,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125049,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125054,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125056,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125058,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125060,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125061,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125077,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125078,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125101,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125103,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
125110,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
126110,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
126111,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
126114,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
126125,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
126152,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127022,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127025,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127026,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127027,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127029,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127031,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127035,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127041,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127042,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127043,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127045,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127111,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127114,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127307,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127309,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127310,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127311,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
127312,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,4,Y
131024,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
131030,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
131102,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
131302,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
131304,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
131306,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
131403,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
131408,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
